world	extensions	membrane_type	opacity	properties	risk_level
無損圖像世界	.png	Transparent_Membrane	5%	Lossless|Alpha_Channel	Lv.1
無損圖像世界	.webp	Transparent_Membrane	5%	Lossless|Alpha_Channel	Lv.1
無損圖像世界	.svg	Glass_Membrane	0%	Vector|Infinite_Scale	Lv.1
無損圖像世界	.bmp	Glass_Membrane	0%	Raw|No_Compression	Lv.1
無損圖像世界	.tiff	Transparent_Membrane	5%	Lossless|Layers	Lv.1
有損圖像世界	.jpg .jpeg	Frosted_Membrane	40%	DCT_Lossy|No_Alpha	Lv.2
有損圖像世界	.avif	Frosted_Membrane	30%	Modern_Lossy|Alpha	Lv.2
有損圖像世界	.heic	Frosted_Membrane	35%	Apple_Lossy|Alpha	Lv.2
視頻音頻世界	.mp4 .mkv	Frosted_Membrane	45%	H264|Temporal_Lossy	Lv.2
視頻音頻世界	.wav	Glass_Membrane	0%	PCM_Raw	Lv.1
視頻音頻世界	.mp3	Frosted_Membrane	50%	Psychoacoustic_Lossy	Lv.2
程式腳本世界	.py .js	Execution_Membrane	0%	Source_Code|Readable	Lv.3
程式腳本世界	.exe .dll	Armor_Membrane	90%	Binary|Compiled	Lv.4
程式腳本世界	.wasm	Armor_Membrane	85%	Sandboxed_Binary	Lv.3
容器壓縮世界	.zip .7z	Armor_Membrane	80%	Archive|Need_Extract	Lv.2
容器壓縮世界	.tar	Armor_Membrane	75%	Stream_Archive	Lv.2
加密安全世界	.aes .gpg	Blackout_Membrane	100%	Encrypted|No_Key_No_Body	Lv.5
加密安全世界	.sha256	Glass_Membrane	0%	Fingerprint_Only	Lv.1
文本數據世界	.txt .md	Glass_Membrane	0%	Plain_Text	Lv.1
文本數據世界	.json .xml	Glass_Membrane	0%	Structured_Text	Lv.1
文本數據世界	.csv	Glass_Membrane	0%	Table_Text	Lv.1
專業格式	.pdf	Frosted_Membrane	20%	Vector+Raster|Locked	Lv.2
專業格式	.psd .ai	Transparent_Membrane	10%	Layers|Proprietary	Lv.2
專業格式	.emerge	Glass_Membrane	0%	LK_Mini_Bone|Self_Describing	Lv.0
