record_no,evidence_status,workflow,run_id,run_number,run_attempt,event,status,conclusion,created_at_utc,updated_at_utc,head_branch,head_sha,actor,job_id,job_name,failed_step_number,failed_step_name,first_actual_error,error_source,run_url,job_coordinate
1,VERIFIED_TRUE,Python Package using Conda,30218736118,102,1,push,completed,failure,2026-07-26T20:19:47Z,2026-07-26T20:20:14Z,agent/open-source-upload-evidence-20260727,f69fd6701a32abb9ca4f67d228ecc667b65251d6,ky46738-ops,89837307747,build-linux,5,Install dependencies,EnvironmentFileNotFound: /home/runner/work/welcome/welcome/environment.yml file not found,SAME_UNCHANGED_WORKFLOW_ROOT_AND_FAILED_STEP,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218736118,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218736118/job/89837307747
2,VERIFIED_TRUE,Gatekeeper,30218736113,119,1,push,completed,failure,2026-07-26T20:19:47Z,2026-07-26T20:19:54Z,agent/open-source-upload-evidence-20260727,f69fd6701a32abb9ca4f67d228ecc667b65251d6,ky46738-ops,89837307721,verify,3,驗證 LKMini 公開種子,FAIL: 雜湊不一致：tools/verify_lkmini.py,LOCAL_GIT_TREE_REPLAY_CURRENT_EVIDENCE_BRANCH,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218736113,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218736113/job/89837307721
3,VERIFIED_TRUE,PR #6,30218736435,85,1,dynamic,completed,success,2026-07-26T20:19:48Z,2026-07-26T20:20:43Z,refs/pull/6/head,f69fd6701a32abb9ca4f67d228ecc667b65251d6,ky46738-ops,,,,,,RUN_METADATA,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218736435,
4,VERIFIED_TRUE,Gatekeeper,30218737457,120,1,pull_request,completed,failure,2026-07-26T20:19:50Z,2026-07-26T20:19:57Z,agent/open-source-upload-evidence-20260727,f69fd6701a32abb9ca4f67d228ecc667b65251d6,ky46738-ops,89837311640,verify,3,驗證 LKMini 公開種子,FAIL: 雜湊不一致：tools/verify_lkmini.py,LOCAL_GIT_TREE_REPLAY_CURRENT_EVIDENCE_BRANCH,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218737457,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218737457/job/89837311640
5,VERIFIED_TRUE,Python Package using Conda,30218746527,103,1,push,completed,failure,2026-07-26T20:20:06Z,2026-07-26T20:20:43Z,agent/open-source-upload-evidence-20260727,66d1036b3144d0e47ba77cc4c728980cefb3d4a4,ky46738-ops,89837334709,build-linux,5,Install dependencies,EnvironmentFileNotFound: /home/runner/work/welcome/welcome/environment.yml file not found,SAME_UNCHANGED_WORKFLOW_ROOT_AND_FAILED_STEP,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218746527,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218746527/job/89837334709
6,VERIFIED_TRUE,Gatekeeper,30218746526,121,1,push,completed,failure,2026-07-26T20:20:06Z,2026-07-26T20:20:18Z,agent/open-source-upload-evidence-20260727,66d1036b3144d0e47ba77cc4c728980cefb3d4a4,ky46738-ops,89837334713,verify,3,驗證 LKMini 公開種子,FAIL: 雜湊不一致：tools/verify_lkmini.py,LOCAL_GIT_TREE_REPLAY_CURRENT_EVIDENCE_BRANCH,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218746526,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218746526/job/89837334713
7,VERIFIED_TRUE,PR #6,30218747583,86,1,dynamic,completed,success,2026-07-26T20:20:07Z,2026-07-26T20:21:04Z,refs/pull/6/head,66d1036b3144d0e47ba77cc4c728980cefb3d4a4,ky46738-ops,,,,,,RUN_METADATA,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218747583,
8,VERIFIED_TRUE,Gatekeeper,30218747576,122,1,push,completed,failure,2026-07-26T20:20:07Z,2026-07-26T20:20:14Z,agent/open-source-upload-evidence-20260727,3a286afe262a1630d6fa5888b156261b7b5746d7,ky46738-ops,89837337260,verify,3,驗證 LKMini 公開種子,FAIL: 雜湊不一致：tools/verify_lkmini.py,LOCAL_GIT_TREE_REPLAY_CURRENT_EVIDENCE_BRANCH,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218747576,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218747576/job/89837337260
9,VERIFIED_TRUE,Python Package using Conda,30218747537,104,1,push,completed,failure,2026-07-26T20:20:07Z,2026-07-26T20:20:47Z,agent/open-source-upload-evidence-20260727,3a286afe262a1630d6fa5888b156261b7b5746d7,ky46738-ops,89837337240,build-linux,5,Install dependencies,EnvironmentFileNotFound: /home/runner/work/welcome/welcome/environment.yml file not found,SAME_UNCHANGED_WORKFLOW_ROOT_AND_FAILED_STEP,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218747537,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218747537/job/89837337240
10,VERIFIED_TRUE,Gatekeeper,30218748687,123,1,pull_request,completed,failure,2026-07-26T20:20:08Z,2026-07-26T20:20:16Z,agent/open-source-upload-evidence-20260727,3a286afe262a1630d6fa5888b156261b7b5746d7,ky46738-ops,89837339721,verify,3,驗證 LKMini 公開種子,FAIL: 雜湊不一致：tools/verify_lkmini.py,LOCAL_GIT_TREE_REPLAY_CURRENT_EVIDENCE_BRANCH,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218748687,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218748687/job/89837339721
