record_no,evidence_status,transfer_attribution,name,created_at_utc,modified_at_utc,size_bytes,media_type,asset_id,collaborator_count,share_url,sha256,current_state,source_coordinate
1,VERIFIED_TRUE_ASSET_METADATA,VERIFIED_FALSE_CHATGPT_TRANSFER_NOT_PROVEN,Adobe Scan 2024年8月14日.pdf,2024-08-14T07:11:04.341Z,2024-08-14T07:11:04.341Z,307867,application/pdf,urn:aaid:sc:AP:d4470dab-9f06-452b-a446-bc1a4de4fac5,VERIFIED_FALSE_NOT_READ,VERIFIED_FALSE_NOT_READ,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_SEARCH_TIME,urn:aaid:sc:AP:d4470dab-9f06-452b-a446-bc1a4de4fac5
2,VERIFIED_TRUE_ASSET_METADATA,VERIFIED_FALSE_CHATGPT_TRANSFER_NOT_PROVEN,Adobe Scan 2024年8月15日.pdf,2024-08-15T02:53:17.986Z,2024-08-15T02:53:24.098Z,327383,application/pdf,urn:aaid:sc:AP:c2c4f708-799e-4124-838e-b3c4370998ba,VERIFIED_FALSE_NOT_READ,VERIFIED_FALSE_NOT_READ,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_SEARCH_TIME,urn:aaid:sc:AP:c2c4f708-799e-4124-838e-b3c4370998ba
3,VERIFIED_TRUE_ASSET_METADATA,VERIFIED_FALSE_CHATGPT_TRANSFER_NOT_PROVEN,Adobe Scan 2024年8月27日.pdf,2024-08-27T02:29:13.819Z,2024-08-27T02:29:13.819Z,450924,application/pdf,urn:aaid:sc:AP:4310934f-6c6a-4ce0-865c-59de1d1ae6af,VERIFIED_FALSE_NOT_READ,VERIFIED_FALSE_NOT_READ,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_SEARCH_TIME,urn:aaid:sc:AP:4310934f-6c6a-4ce0-865c-59de1d1ae6af
4,VERIFIED_TRUE_ASSET_METADATA,VERIFIED_FALSE_CHATGPT_TRANSFER_NOT_PROVEN,Adobe Scan 2024年8月27日 (1).pdf,2024-08-27T02:32:13.265Z,2024-08-27T02:32:13.265Z,442990,application/pdf,urn:aaid:sc:AP:31e46aa9-0116-4413-ac78-112b47c163ce,VERIFIED_FALSE_NOT_READ,VERIFIED_FALSE_NOT_READ,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_SEARCH_TIME,urn:aaid:sc:AP:31e46aa9-0116-4413-ac78-112b47c163ce
5,VERIFIED_TRUE_ASSET_METADATA,VERIFIED_FALSE_CHATGPT_TRANSFER_NOT_PROVEN,Adobe Scan 2024年9月26日.pdf,2024-09-26T05:58:03.462Z,2024-09-26T05:58:20.172Z,120579,application/pdf,urn:aaid:sc:AP:c435165b-cc7f-4c99-afe5-339569e1f0dd,VERIFIED_FALSE_NOT_READ,VERIFIED_FALSE_NOT_READ,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_SEARCH_TIME,urn:aaid:sc:AP:c435165b-cc7f-4c99-afe5-339569e1f0dd
6,VERIFIED_TRUE_ASSET_METADATA,VERIFIED_FALSE_CHATGPT_TRANSFER_NOT_PROVEN,Adobe Scan 2024年9月26日 (1).pdf,2024-09-26T05:59:09.379Z,2024-09-26T05:59:22.495Z,119311,application/pdf,urn:aaid:sc:AP:cb2104ad-d869-49a1-bd5f-de727b56ecb0,VERIFIED_FALSE_NOT_READ,VERIFIED_FALSE_NOT_READ,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_SEARCH_TIME,urn:aaid:sc:AP:cb2104ad-d869-49a1-bd5f-de727b56ecb0
7,VERIFIED_TRUE_ASSET_METADATA,VERIFIED_FALSE_CHATGPT_TRANSFER_NOT_PROVEN,Adobe Scan 2024年10月9日.pdf,2024-10-09T09:17:58.701Z,2024-10-09T09:17:58.701Z,258042,application/pdf,urn:aaid:sc:AP:f4146eec-c72d-429d-989c-5ecb63aeb8d0,VERIFIED_FALSE_NOT_READ,VERIFIED_FALSE_NOT_READ,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_SEARCH_TIME,urn:aaid:sc:AP:f4146eec-c72d-429d-989c-5ecb63aeb8d0
8,VERIFIED_TRUE_ASSET_METADATA,VERIFIED_FALSE_CHATGPT_TRANSFER_NOT_PROVEN,Adobe Scan 2024年10月29日.pdf,2024-10-29T13:48:01.724Z,2024-10-29T13:48:13.304Z,151979,application/pdf,urn:aaid:sc:AP:3779013d-d638-46e6-8a74-8214e27f3810,VERIFIED_FALSE_NOT_READ,VERIFIED_FALSE_NOT_READ,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_SEARCH_TIME,urn:aaid:sc:AP:3779013d-d638-46e6-8a74-8214e27f3810
9,VERIFIED_TRUE_ASSET_METADATA,VERIFIED_FALSE_CHATGPT_TRANSFER_NOT_PROVEN,Adobe Scan 2024年10月29日 (1).pdf,2024-10-29T13:48:58.549Z,2024-10-29T13:49:09.692Z,146550,application/pdf,urn:aaid:sc:AP:aeab281b-a4f4-40bf-a76f-698ce77e6045,VERIFIED_FALSE_NOT_READ,VERIFIED_FALSE_NOT_READ,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_SEARCH_TIME,urn:aaid:sc:AP:aeab281b-a4f4-40bf-a76f-698ce77e6045
10,VERIFIED_TRUE_ASSET_METADATA,VERIFIED_FALSE_CHATGPT_TRANSFER_NOT_PROVEN,Adobe Scan 2025年12月2日.pdf,2025-12-02T10:00:37.852Z,2025-12-02T10:00:45.267Z,175016,application/pdf,urn:aaid:sc:AP:cbf489ce-c142-4fc2-8a52-c85db6241a3d,VERIFIED_FALSE_NOT_READ,VERIFIED_FALSE_NOT_READ,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_SEARCH_TIME,urn:aaid:sc:AP:cbf489ce-c142-4fc2-8a52-c85db6241a3d
