record_no,evidence_status,source_classification,name,created_at_utc,modified_at_utc,size_bytes,mime_type,file_id,library_file_id,version_id,path,model_generated,sha256,current_state,transfer_attribution
401,VERIFIED_TRUE,ChatGPT Library model_generated,🧚輕量安裝精靈｜InstallElfLite.zip,2026-06-17T16:47:55.610439Z,2026-06-17T16:47:55.610362Z,42018,application/zip,file_0000000095fc720b842bddaf8d21c8fd,libfile_8b6bb96f69348191bdc67ac0f222ce70,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/🧚輕量安裝精靈｜InstallElfLite.zip,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
402,VERIFIED_TRUE,ChatGPT Library model_generated,🌐點我啟動安裝精靈｜OpenInstallElfLite.html,2026-06-17T16:48:02.399441Z,2026-06-17T16:48:10.812452Z,6313,text/html,file_000000002fb0720ba4c197d9e556c644,libfile_f4640333d7d88191832eeb320f10ece7,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/🌐點我啟動安裝精靈｜OpenInstallElfLite.html,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
403,VERIFIED_TRUE,ChatGPT Library model_generated,📘輕量安裝精靈說明書｜InstallElfLiteReadme.md,2026-06-17T16:48:11.020212Z,2026-06-17T16:48:18.012792Z,913,text/markdown,file_0000000015e0720b83a5e46a462dd945,libfile_49db9008b5908191828e998ad6a01cc1,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/📘輕量安裝精靈說明書｜InstallElfLiteReadme.md,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
404,VERIFIED_TRUE,ChatGPT Library model_generated,🧾功能啟動狀態表｜CapabilityActivationStatus.csv,2026-06-17T16:48:17.549144Z,2026-06-17T16:48:28.743535Z,779,text/csv,file_0000000040f0720bbf4e7e54ee2274cd,libfile_863a565bce408191967dc4d622443d77,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/🧾功能啟動狀態表｜CapabilityActivationStatus.csv,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
405,VERIFIED_TRUE,ChatGPT Library model_generated,📦大型內容索引｜PayloadIndex.json,2026-06-17T16:48:24.262556Z,2026-06-17T16:48:35.670083Z,184276,application/json,file_000000006f74720b8a2168b84198eeae,libfile_175b9e096e0881918ba8d86535b733f7,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/📦大型內容索引｜PayloadIndex.json,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
406,VERIFIED_TRUE,ChatGPT Library model_generated,✅輕量安裝精靈回執｜ValidationReport.json,2026-06-17T16:48:31.036194Z,2026-06-17T16:48:41.199086Z,503,application/json,file_0000000016a0720bb2ccf6d3eaa15747,libfile_359436f749948191a9bab6751f99849a,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/✅輕量安裝精靈回執｜ValidationReport.json,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
407,VERIFIED_TRUE,ChatGPT Library model_generated,📦權利回收膠囊合併安裝｜RightsReturnCapsuleInstall.zip,2026-06-17T16:56:17.089521Z,2026-06-17T16:56:17.089463Z,82600,application/zip,file_000000004990720b8141cb31dbc0f271,libfile_ff0e089403b081918133a90713eb640f,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/📦權利回收膠囊合併安裝｜RightsReturnCapsuleInstall.zip,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
408,VERIFIED_TRUE,ChatGPT Library model_generated,🌐權利回收膠囊合併安裝入口｜RightsReturnInstallEntry.html,2026-06-17T16:56:23.834734Z,2026-06-17T16:56:32.166032Z,1558,text/html,file_00000000cac871f8881abcf0e0fc23e7,libfile_74057e7bb7948191875f21abd157c0ff,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/🌐權利回收膠囊合併安裝入口｜RightsReturnInstallEntry.html,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
409,VERIFIED_TRUE,ChatGPT Library model_generated,📘權利回收膠囊合併安裝報告｜RightsReturnInstallReport.md,2026-06-17T16:56:31.334632Z,2026-06-17T16:56:38.262094Z,943,text/markdown,file_000000003af8720b882c5d70150675e8,libfile_20ced9aca144819191d36ee88f2f6aaa,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/📘權利回收膠囊合併安裝報告｜RightsReturnInstallReport.md,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
410,VERIFIED_TRUE,ChatGPT Library model_generated,🧹權利回收去重表｜RightsReturnDedup.csv,2026-06-17T16:56:37.520034Z,2026-06-17T16:56:47.523174Z,548,text/csv,file_00000000eec4720b93e8b62347cce54d,libfile_080bc4962fc48191944c08d92f6aa21a,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/🧹權利回收去重表｜RightsReturnDedup.csv,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
411,VERIFIED_TRUE,ChatGPT Library model_generated,🧾權利回收膠囊合併安裝｜MANIFEST.csv,2026-06-17T16:56:43.612444Z,2026-06-17T16:56:53.652533Z,3755,text/csv,file_00000000caf8720b8d79cde4d8239256,libfile_3d959146d0d881919b7b60c66dac04b6,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/🧾權利回收膠囊合併安裝｜MANIFEST.csv,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
412,VERIFIED_TRUE,ChatGPT Library model_generated,🧾權利回收膠囊處理紀錄｜RightsReturnProcessLedger.jsonl,2026-06-17T16:56:49.430009Z,2026-06-17T16:56:55.885447Z,1148,text/plain,file_00000000ce98720bb48c9382bcb6bc64,libfile_52003fbbb65c81919f051b437c2646c6,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/🧾權利回收膠囊處理紀錄｜RightsReturnProcessLedger.jsonl,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
413,VERIFIED_TRUE,ChatGPT Library model_generated,✅權利回收膠囊合併安裝回執｜ValidationReport.json,2026-06-17T16:56:55.517727Z,2026-06-17T16:57:05.117572Z,605,application/json,file_000000002bc8720bb4363dab67448b78,libfile_34350236538881919887befbf30bc000,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/✅權利回收膠囊合併安裝回執｜ValidationReport.json,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
414,VERIFIED_TRUE,ChatGPT Library model_generated,🧲全能力回收安裝包｜AllCapabilityRecoveryInstall.zip,2026-06-17T17:12:06.500531Z,2026-06-17T17:12:06.500470Z,138008,application/zip,file_00000000e41c720b85dedc480b56ea47,libfile_65a5329c085c8191817778b3e5c3a4ab,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/🧲全能力回收安裝包｜AllCapabilityRecoveryInstall.zip,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
415,VERIFIED_TRUE,ChatGPT Library model_generated,🌐全能力回收入口｜AllCapabilityRecoveryEntry.html,2026-06-17T17:12:13.497707Z,2026-06-17T17:12:23.959551Z,20086,text/html,file_00000000f908720b9eaa487ef54f6d80,libfile_1d3fa4080f1c8191b0482723e7a99734,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/🌐全能力回收入口｜AllCapabilityRecoveryEntry.html,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
