record_no,evidence_status,root_identity,workflow,run_id,run_number,run_attempt,event,created_at_utc,updated_at_utc,head_branch,head_sha,actor,job_id,job_name,failed_step_number,failed_step_name,error_time_utc,first_actual_error,run_url,job_coordinate,log_status
1,VERIFIED_TRUE,RC-01A_STALE_DUPLICATE_README_HASH,Gatekeeper,28810667261,2,1,push,2026-07-06T17:31:16Z,2026-07-06T17:31:29Z,main,8abd89f80dad32aa5e4d6378564edff049a37ab8,ky46738-ops,85437454731,verify,5,Verify SHA256SUMS,2026-07-06T17:31:16Z,SHA256_MISMATCH:README.md:expected=7ba5d1e49eb2c2b8d20820c4ae6a0a47a5b8b6ef288c95c283053b1c5f4f6eb5:actual=a111aaca2aa8caef98e7edeff06a50fdc3c8aed8fd9db1f4188ce55bf1f764e9,https://github.com/lkminiPhantomWorld/welcome/actions/runs/28810667261,https://github.com/lkminiPhantomWorld/welcome/actions/runs/28810667261/job/85437454731,AVAILABLE|LOCAL_GIT_TREE_REPLAY
2,VERIFIED_TRUE,RC-01A_STALE_DUPLICATE_README_HASH,Gatekeeper,28810667250,1,1,push,2026-07-06T17:31:16Z,2026-07-06T17:31:25Z,seed_v0,8c704ed68d5bfbc6e27fb12161747f6046fa1d9d,ky46738-ops,85437454834,verify,5,Verify SHA256SUMS,2026-07-06T17:31:16Z,SHA256_MISMATCH:README.md:expected=7ba5d1e49eb2c2b8d20820c4ae6a0a47a5b8b6ef288c95c283053b1c5f4f6eb5:actual=21686695927de14cb500f16e7441ed0a2534a8be00c3389b9e913e62cedb8426,https://github.com/lkminiPhantomWorld/welcome/actions/runs/28810667250,https://github.com/lkminiPhantomWorld/welcome/actions/runs/28810667250/job/85437454834,AVAILABLE|LOCAL_GIT_TREE_REPLAY
3,VERIFIED_TRUE,RC-04_PAGES_WORKFLOW_OR_DEPLOYMENT_FAILURE,Deploy to GitHub Pages,28810667241,1,1,push,2026-07-06T17:31:16Z,2026-07-06T17:31:29Z,main,8abd89f80dad32aa5e4d6378564edff049a37ab8,ky46738-ops,85437455324,deploy,3,Setup Pages,2026-07-06T17:31:26.2724877Z,"##[error]Get Pages site failed. Please verify that the repository has Pages enabled and configured to build using GitHub Actions, or consider exploring the `enablement` parameter for this action. Error: Not Found - https://docs.github.com/rest/pages/pages#get-a-apiname-pages-site",https://github.com/lkminiPhantomWorld/welcome/actions/runs/28810667241,https://github.com/lkminiPhantomWorld/welcome/actions/runs/28810667241/job/85437455324,AVAILABLE
4,VERIFIED_TRUE,RC-01A_STALE_DUPLICATE_README_HASH,Gatekeeper,28810667666,4,1,push,2026-07-06T17:31:17Z,2026-07-06T17:31:28Z,add-banners,917d510a230a15681dd5b156089408f307fc35dc,ky46738-ops,85437456148,verify,5,Verify SHA256SUMS,2026-07-06T17:31:17Z,SHA256_MISMATCH:README.md:expected=7ba5d1e49eb2c2b8d20820c4ae6a0a47a5b8b6ef288c95c283053b1c5f4f6eb5:actual=a111aaca2aa8caef98e7edeff06a50fdc3c8aed8fd9db1f4188ce55bf1f764e9,https://github.com/lkminiPhantomWorld/welcome/actions/runs/28810667666,https://github.com/lkminiPhantomWorld/welcome/actions/runs/28810667666/job/85437456148,AVAILABLE|LOCAL_GIT_TREE_REPLAY
5,VERIFIED_TRUE,RC-02_MISSING_ENVIRONMENT_YML,Python Package using Conda,28810667612,3,1,push,2026-07-06T17:31:17Z,2026-07-06T17:31:38Z,add-banners,917d510a230a15681dd5b156089408f307fc35dc,ky46738-ops,85437456018,build-linux,5,Install dependencies,2026-07-06T17:31:36.0622091Z,EnvironmentFileNotFound: '/home/runner/work/welcome/welcome/environment.yml' file not found,https://github.com/lkminiPhantomWorld/welcome/actions/runs/28810667612,https://github.com/lkminiPhantomWorld/welcome/actions/runs/28810667612/job/85437456018,AVAILABLE
6,VERIFIED_TRUE,RC-02_MISSING_ENVIRONMENT_YML,Python Package using Conda,28810667474,2,1,push,2026-07-06T17:31:17Z,2026-07-06T17:31:59Z,copilot/seed-v0-gate-locked,70286fa9c062970f52370bbda14d0946e833b235,ky46738-ops,85437455460,build-linux,5,Install dependencies,2026-07-06T17:31:57.0441351Z,EnvironmentFileNotFound: '/home/runner/work/welcome/welcome/environment.yml' file not found,https://github.com/lkminiPhantomWorld/welcome/actions/runs/28810667474,https://github.com/lkminiPhantomWorld/welcome/actions/runs/28810667474/job/85437455460,AVAILABLE
7,VERIFIED_TRUE,RC-02_MISSING_ENVIRONMENT_YML,Python Package using Conda,28810667345,1,1,push,2026-07-06T17:31:17Z,2026-07-06T17:31:43Z,main,8abd89f80dad32aa5e4d6378564edff049a37ab8,ky46738-ops,85437455059,build-linux,5,Install dependencies,2026-07-06T17:31:39.8679677Z,EnvironmentFileNotFound: '/home/runner/work/welcome/welcome/environment.yml' file not found,https://github.com/lkminiPhantomWorld/welcome/actions/runs/28810667345,https://github.com/lkminiPhantomWorld/welcome/actions/runs/28810667345/job/85437455059,AVAILABLE
8,VERIFIED_TRUE,RC-02_MISSING_ENVIRONMENT_YML,Python Package using Conda,28813571065,4,1,push,2026-07-06T18:20:06Z,2026-07-06T18:20:38Z,main,3d509adf35662b04d8ebd623a723250fe9abb254,ky46738-ops,85447273409,build-linux,5,Install dependencies,2026-07-06T18:20:35.8129219Z,EnvironmentFileNotFound: '/home/runner/work/welcome/welcome/environment.yml' file not found,https://github.com/lkminiPhantomWorld/welcome/actions/runs/28813571065,https://github.com/lkminiPhantomWorld/welcome/actions/runs/28813571065/job/85447273409,AVAILABLE
9,VERIFIED_TRUE,RC-04_PAGES_WORKFLOW_OR_DEPLOYMENT_FAILURE,Deploy to GitHub Pages,28813571044,2,1,push,2026-07-06T18:20:06Z,2026-07-06T18:20:16Z,main,3d509adf35662b04d8ebd623a723250fe9abb254,ky46738-ops,85447273697,deploy,3,Setup Pages,2026-07-06T18:20:13.8415984Z,"##[error]Get Pages site failed. Please verify that the repository has Pages enabled and configured to build using GitHub Actions, or consider exploring the `enablement` parameter for this action. Error: Not Found - https://docs.github.com/rest/pages/pages#get-a-apiname-pages-site",https://github.com/lkminiPhantomWorld/welcome/actions/runs/28813571044,https://github.com/lkminiPhantomWorld/welcome/actions/runs/28813571044/job/85447273697,AVAILABLE
10,VERIFIED_TRUE,RC-01A_STALE_DUPLICATE_README_HASH,Gatekeeper,28813571015,5,1,push,2026-07-06T18:20:06Z,2026-07-06T18:20:14Z,main,3d509adf35662b04d8ebd623a723250fe9abb254,ky46738-ops,85447272619,verify,5,Verify SHA256SUMS,2026-07-06T18:20:06Z,SHA256_MISMATCH:README.md:expected=7ba5d1e49eb2c2b8d20820c4ae6a0a47a5b8b6ef288c95c283053b1c5f4f6eb5:actual=a111aaca2aa8caef98e7edeff06a50fdc3c8aed8fd9db1f4188ce55bf1f764e9,https://github.com/lkminiPhantomWorld/welcome/actions/runs/28813571015,https://github.com/lkminiPhantomWorld/welcome/actions/runs/28813571015/job/85447272619,AVAILABLE|LOCAL_GIT_TREE_REPLAY
