evidence_status,time_iso,repository,commit_sha,message,matched_query,files_status,coordinate
VERIFIED_TRUE,2026-05-13T12:31:05+08:00,ky46738-ops/LaoK-System,39fcca18d0878df5c054e0063381549cd54b77e1,Add LK Mini SVG world seed,MINI,LKMini/LKMini.svg verified by fetch_commit,https://github.com/ky46738-ops/LaoK-System/commit/39fcca18d0878df5c054e0063381549cd54b77e1
VERIFIED_FALSE_EXACT_COMMIT_NOT_RETURNED,2026-05-17,ky46738-ops/LaoK-System,,MINI formal update asserted by embedded public manifest,May 17,Platform did not return a matching commit SHA,lkminiPhantomWorld/welcome@8abd89f:SHA256SUMS
VERIFIED_TRUE,2026-06-21T05:24:32+08:00,ky46738-ops/LaoK-System,378610d061fbb12910bb4223108739fcb7fb49b7,新增 EngineIcons 引擎小圖系統,LKMini,Commit search metadata only,https://github.com/ky46738-ops/LaoK-System/commit/378610d061fbb12910bb4223108739fcb7fb49b7
VERIFIED_TRUE,2026-06-21T05:24:56+08:00,ky46738-ops/LaoK-System,e2ff3185b13d8ba239c617bc33b4dd78cd23fcd6,新增 EngineIcons 引擎小圖系統,LKMini,Commit search metadata only,https://github.com/ky46738-ops/LaoK-System/commit/e2ff3185b13d8ba239c617bc33b4dd78cd23fcd6
VERIFIED_TRUE,2026-06-21T05:25:54+08:00,ky46738-ops/LaoK-System,31e89411eb135bbae25080a2ccf377dc1eaa05f9,推送完整 EngineIcons 系統,LKMini,Commit search metadata only,https://github.com/ky46738-ops/LaoK-System/commit/31e89411eb135bbae25080a2ccf377dc1eaa05f9
VERIFIED_TRUE,2026-06-21T08:05:38+08:00,ky46738-ops/LaoK-System,7af8de6b081c40b7bf71b304f35c2cfdd5a74656,填入真正內容：EngineIconMaker + LKMini Dashboard,LKMini,Commit search metadata only,https://github.com/ky46738-ops/LaoK-System/commit/7af8de6b081c40b7bf71b304f35c2cfdd5a74656
VERIFIED_TRUE,2026-07-03T09:46:29Z,ky46738-ops/LaoK-System,694d3e6b832a49b87218bce98718f8e7464ea63b,Install LKMini and Eternal Core entry pages,LKMini,Commit search metadata only,https://github.com/ky46738-ops/LaoK-System/commit/694d3e6b832a49b87218bce98718f8e7464ea63b
VERIFIED_TRUE,2026-07-06T23:29:10Z,ky46738-ops/LaoK-System,c1270ac3f68afaf52a6516b01b66edae50a13af9,在永恆核心加入 LKMini 系統本體入口（已凍結標記）,LKMini,Commit search metadata only,https://github.com/ky46738-ops/LaoK-System/commit/c1270ac3f68afaf52a6516b01b66edae50a13af9
VERIFIED_TRUE,2026-07-06T23:32:54Z,ky46738-ops/LaoK-System,73404cb286ae1a1508310d6edc2d0dacc2a11df0,所有檔案加入 LKMini 本體連結（已凍結標記）,LKMini,Commit search metadata only,https://github.com/ky46738-ops/LaoK-System/commit/73404cb286ae1a1508310d6edc2d0dacc2a11df0
VERIFIED_TRUE,2026-07-06T23:38:32Z,ky46738-ops/LaoK-System,d29959e6959b0605fd3ea237e96fe28fc81b32d9,建立歡迎光臨唯一路口，設為 LKMini 所有公開入口,LKMini,Commit search metadata only,https://github.com/ky46738-ops/LaoK-System/commit/d29959e6959b0605fd3ea237e96fe28fc81b32d9
