time_utc,time_tpe,evidence_status,source,event_type,subject,action,operator,path,commit_sha,platform_id,coordinate,details
2026-05-13T04:31:05Z,2026-05-13T12:31:05+08:00,VERIFIED_TRUE,GitHub connector fetch_commit,MINI_SEED_COMMIT,ky46738-ops/LaoK-System,Add LK Mini SVG world seed,ky46738-ops,LKMini/LKMini.svg,39fcca18d0878df5c054e0063381549cd54b77e1,,https://github.com/ky46738-ops/LaoK-System/commit/39fcca18d0878df5c054e0063381549cd54b77e1,1200x630 SVG; metadata created_at_tpe_label=20260513-042721_TPE
2026-05-16T16:00:00Z,2026-05-17T00:00:00+08:00,VERIFIED_PARTIAL_EXACT_COMMIT_FALSE,welcome@8abd89f:SHA256SUMS,MINI_FORMAL_UPDATE_LABEL,LKMini seed_v0,Semantic Civilization Architecture updated,ky46738-ops (manifest statement),SHA256SUMS,,,https://github.com/lkminiPhantomWorld/welcome/blob/8abd89f80dad32aa5e4d6378564edff049a37ab8/SHA256SUMS,Exact 2026-05-17 commit SHA was not returned by the private repository connector
2026-07-06T17:31:10Z,2026-07-07T01:31:10+08:00,VERIFIED_TRUE,local public git mirror,GITHUB_COMMIT_FILE,lkminiPhantomWorld/welcome,A .githooks/pre-commit,Kevin Yang / committer GitHub,.githooks/pre-commit,8abd89f80dad32aa5e4d6378564edff049a37ab8,,https://github.com/lkminiPhantomWorld/welcome/blob/8abd89f80dad32aa5e4d6378564edff049a37ab8/.githooks/pre-commit,Initial commit
2026-07-06T17:31:10Z,2026-07-07T01:31:10+08:00,VERIFIED_TRUE,local public git mirror,GITHUB_COMMIT_FILE,lkminiPhantomWorld/welcome,A .github/CODEOWNERS,Kevin Yang / committer GitHub,.github/CODEOWNERS,8abd89f80dad32aa5e4d6378564edff049a37ab8,,https://github.com/lkminiPhantomWorld/welcome/blob/8abd89f80dad32aa5e4d6378564edff049a37ab8/.github/CODEOWNERS,Initial commit
2026-07-06T17:31:10Z,2026-07-07T01:31:10+08:00,VERIFIED_TRUE,local public git mirror,GITHUB_COMMIT_FILE,lkminiPhantomWorld/welcome,A .github/workflows/gatekeeper.yml,Kevin Yang / committer GitHub,.github/workflows/gatekeeper.yml,8abd89f80dad32aa5e4d6378564edff049a37ab8,,https://github.com/lkminiPhantomWorld/welcome/blob/8abd89f80dad32aa5e4d6378564edff049a37ab8/.github/workflows/gatekeeper.yml,Initial commit
2026-07-06T17:31:10Z,2026-07-07T01:31:10+08:00,VERIFIED_TRUE,local public git mirror,GITHUB_COMMIT_FILE,lkminiPhantomWorld/welcome,A .github/workflows/pages.yml,Kevin Yang / committer GitHub,.github/workflows/pages.yml,8abd89f80dad32aa5e4d6378564edff049a37ab8,,https://github.com/lkminiPhantomWorld/welcome/blob/8abd89f80dad32aa5e4d6378564edff049a37ab8/.github/workflows/pages.yml,Initial commit
2026-07-06T17:31:10Z,2026-07-07T01:31:10+08:00,VERIFIED_TRUE,local public git mirror,GITHUB_COMMIT_FILE,lkminiPhantomWorld/welcome,A .github/workflows/python-package-conda.yml,Kevin Yang / committer GitHub,.github/workflows/python-package-conda.yml,8abd89f80dad32aa5e4d6378564edff049a37ab8,,https://github.com/lkminiPhantomWorld/welcome/blob/8abd89f80dad32aa5e4d6378564edff049a37ab8/.github/workflows/python-package-conda.yml,Initial commit
2026-07-06T17:31:10Z,2026-07-07T01:31:10+08:00,VERIFIED_TRUE,local public git mirror,GITHUB_COMMIT_FILE,lkminiPhantomWorld/welcome,A .github/workflows/rename-md-h1.yml,Kevin Yang / committer GitHub,.github/workflows/rename-md-h1.yml,8abd89f80dad32aa5e4d6378564edff049a37ab8,,https://github.com/lkminiPhantomWorld/welcome/blob/8abd89f80dad32aa5e4d6378564edff049a37ab8/.github/workflows/rename-md-h1.yml,Initial commit
2026-07-06T17:31:10Z,2026-07-07T01:31:10+08:00,VERIFIED_TRUE,local public git mirror,GITHUB_COMMIT_FILE,lkminiPhantomWorld/welcome,A .tags/seed_v0.md,Kevin Yang / committer GitHub,.tags/seed_v0.md,8abd89f80dad32aa5e4d6378564edff049a37ab8,,https://github.com/lkminiPhantomWorld/welcome/blob/8abd89f80dad32aa5e4d6378564edff049a37ab8/.tags/seed_v0.md,Initial commit
2026-07-06T17:31:10Z,2026-07-07T01:31:10+08:00,VERIFIED_TRUE,local public git mirror,GITHUB_COMMIT_FILE,lkminiPhantomWorld/welcome,A ANCHOR.md,Kevin Yang / committer GitHub,ANCHOR.md,8abd89f80dad32aa5e4d6378564edff049a37ab8,,https://github.com/lkminiPhantomWorld/welcome/blob/8abd89f80dad32aa5e4d6378564edff049a37ab8/ANCHOR.md,Initial commit
2026-07-06T17:31:10Z,2026-07-07T01:31:10+08:00,VERIFIED_TRUE,local public git mirror,GITHUB_COMMIT_FILE,lkminiPhantomWorld/welcome,A CITATION.cff,Kevin Yang / committer GitHub,CITATION.cff,8abd89f80dad32aa5e4d6378564edff049a37ab8,,https://github.com/lkminiPhantomWorld/welcome/blob/8abd89f80dad32aa5e4d6378564edff049a37ab8/CITATION.cff,Initial commit
2026-07-06T17:31:10Z,2026-07-07T01:31:10+08:00,VERIFIED_TRUE,local public git mirror,GITHUB_COMMIT_FILE,lkminiPhantomWorld/welcome,A CIVILIZATIONAL_SEED.md,Kevin Yang / committer GitHub,CIVILIZATIONAL_SEED.md,8abd89f80dad32aa5e4d6378564edff049a37ab8,,https://github.com/lkminiPhantomWorld/welcome/blob/8abd89f80dad32aa5e4d6378564edff049a37ab8/CIVILIZATIONAL_SEED.md,Initial commit
2026-07-06T17:31:10Z,2026-07-07T01:31:10+08:00,VERIFIED_TRUE,local public git mirror,GITHUB_COMMIT_FILE,lkminiPhantomWorld/welcome,A CONTEXT_GUARDIAN.md,Kevin Yang / committer GitHub,CONTEXT_GUARDIAN.md,8abd89f80dad32aa5e4d6378564edff049a37ab8,,https://github.com/lkminiPhantomWorld/welcome/blob/8abd89f80dad32aa5e4d6378564edff049a37ab8/CONTEXT_GUARDIAN.md,Initial commit
2026-07-06T17:31:10Z,2026-07-07T01:31:10+08:00,VERIFIED_TRUE,local public git mirror,GITHUB_COMMIT_FILE,lkminiPhantomWorld/welcome,A CONTRIBUTING.md,Kevin Yang / committer GitHub,CONTRIBUTING.md,8abd89f80dad32aa5e4d6378564edff049a37ab8,,https://github.com/lkminiPhantomWorld/welcome/blob/8abd89f80dad32aa5e4d6378564edff049a37ab8/CONTRIBUTING.md,Initial commit
