record_no,evidence_status,source_classification,name,created_at_utc,modified_at_utc,size_bytes,mime_type,file_id,library_file_id,version_id,path,model_generated,sha256,current_state,transfer_attribution
201,VERIFIED_TRUE,ChatGPT Library model_generated,💬小蜜閉環融合版角色文明母板｜MimiClosedLoopCompleteFusionTemplate_20260616-132649_TPE.zip,2026-06-16T05:27:33.407920Z,2026-06-16T05:27:33.407831Z,18267,application/zip,file_0000000084e471f8a81ae46a694ccc82,libfile_c5c33f5a39cc819187ac538b2b1e59da,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/💬小蜜閉環融合版角色文明母板｜MimiClosedLoopCompleteFusionTemplate_20260616-132649_TPE.zip,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
202,VERIFIED_TRUE,ChatGPT Library model_generated,💬小蜜Drive整合優化｜MimiDriveIntegrationOptimization.zip,2026-06-16T17:58:24.163344Z,2026-06-16T17:58:24.163282Z,5379,application/zip,file_00000000aa6c7207a8381a6475b636ab,libfile_e836d0405d408191a5cf60679f2d0108,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/💬小蜜Drive整合優化｜MimiDriveIntegrationOptimization.zip,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
203,VERIFIED_TRUE,ChatGPT Library model_generated,🛡️角色保護能力命名優化｜RoleProtectionCapabilityNaming.zip,2026-06-16T18:35:56.406152Z,2026-06-16T18:35:56.406068Z,3653239,application/zip,file_00000000264c720ba5e9a1fe63d10962,libfile_b0067e40c31c81919d5b09adf03fd9c3,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/🛡️角色保護能力命名優化｜RoleProtectionCapabilityNaming.zip,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
204,VERIFIED_TRUE,ChatGPT Library model_generated,🧭角色保護能力命名對照表｜NamingMap.csv,2026-06-16T18:36:00.971323Z,2026-06-16T18:36:21.488233Z,946150,text/csv,file_0000000031c8720b8212fd6a3428b9eb,libfile_45bf1f18c5c4819187015880901bd07f,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/🧭角色保護能力命名對照表｜NamingMap.csv,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
205,VERIFIED_TRUE,ChatGPT Library model_generated,🌳角色保護能力命名優化樹狀圖｜OptimizedTree.md,2026-06-16T18:36:08.149747Z,2026-06-16T18:36:21.492358Z,18003,text/markdown,file_000000005688720b9766fc44c227745d,libfile_4dbeae68f9748191b52d639346326faa,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/🌳角色保護能力命名優化樹狀圖｜OptimizedTree.md,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
206,VERIFIED_TRUE,ChatGPT Library model_generated,✅角色保護能力命名優化｜ValidationReport.json,2026-06-16T18:36:19.691237Z,2026-06-16T18:36:29.737528Z,809,application/json,file_00000000384c71f89159226e5310bc77,libfile_67cddb0149508191b0349c78be7f76bc,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/✅角色保護能力命名優化｜ValidationReport.json,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
207,VERIFIED_TRUE,ChatGPT Library model_generated,🥃智能(1)(1).zip,2026-06-16T19:27:54.091403Z,2026-06-16T19:28:00.242579Z,1317,application/zip,file_00000000f500720781b45835269b198d,libfile_f4fe730c732c8191b8415e3ab340982f,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/🥃智能(1)(1).zip,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
208,VERIFIED_TRUE,ChatGPT Library model_generated,🥃智能十動作補完整｜SmartTenActionComplete.zip,2026-06-16T19:30:50.251574Z,2026-06-16T19:30:50.251503Z,16026,application/zip,file_00000000ee387207ac8bb2f961ae05d6,libfile_aa96abe33ecc8191adb4185d05b2ec89,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/🥃智能十動作補完整｜SmartTenActionComplete.zip,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
209,VERIFIED_TRUE,ChatGPT Library model_generated,🌳智能十動作補完整樹狀圖｜SmartTenActionTree.md,2026-06-16T19:30:55.693507Z,2026-06-16T19:31:01.206027Z,490,text/markdown,file_000000002a587207bfb9508424a0465b,libfile_2c8bb2afcdb88191b1ce672d1c9a6e81,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/🌳智能十動作補完整樹狀圖｜SmartTenActionTree.md,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
210,VERIFIED_TRUE,ChatGPT Library model_generated,✅智能十動作補完整｜ValidationReport.json,2026-06-16T19:31:01.423011Z,2026-06-16T19:31:07.855514Z,823,application/json,file_000000003a307207a0d5ea874c241c0e,libfile_484e11bb49dc8191885c81dfdc2ccb04,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,/✅智能十動作補完整｜ValidationReport.json,true,VERIFIED_FALSE_PLATFORM_NOT_PROVIDED,PRESENT_AT_LIST_TIME,VERIFIED_FALSE_INITIATING_CONVERSATION_NOT_PROVIDED
